vehicleGroupName,MaxItemWeight,maxLength ,maxWidth ,maxHeight
Blind Van,1000,150,160,108.0
CDD car carrier,5500,560,200,
CDD Wingbox,10000,930,250,250.0
CDE Wingbox,7000,700,220,250.0
CDD Motor Long Carrier,10000,720,230,250.0
CDD Bak,5500,560,200,220.0
CDE Chiller,3200,350,173,200.0
CDE Box,3600,350,160,160.0
CDE Bak,3600,350,160,80.0
CDE Los Bak,3200,350,173,
CDD Chiller,5500,560,200,220.0
Pick Up Box,500,237,155,129.0
Pick Up Bak,1200,242,144,30.0
Pick Up Chiller,500,237,155,129.0
CDD Box,5500,560,200,220.0
CDD Long Bak,10000,720,230,250.0
CDD Long Box,10000,720,230,250.0
CDD Long Tangki,10000,760,230,250.0
CDD Los Bak,5500,560,200,
Los Bak,3600,350,160,80.0
Fuso Bak,7000,570,230,120.0
Fuso Box,7000,570,230,240.0
Fuso Jumbo,8000,570,230,220.0
Tronton Wingbox,17800,940,240,290.0
Tronton Box,7800,630,220,230.0
Tronton Bak,7800,630,220,230.0
Tronton Los Bak,7800,630,220,
Tronton Dump Truck,7800,630,220,230.0
Dump Truck,3600,350,160,80.0
Self Loader,8000,1198,249,378.0
Fuso Tronton,10000,980,255,275.0
Tronton Car Carrier,7800,630,220,230.0
Tronton Chiller,2800,630,220,230.0
Trailer Chiller Container 40 Feet,29150,1150,220,220.0
Trailer 40 Feetasdd40,60000,1250,250,155.0
Trailer Dry Container 45 Feet,32000,1350,230,230.0
Trailer Chiller Container 20 Feet,27400,544,220,220.0
Trailer Dry Container 40 Feet,30000,1200,230,230.0
Trailer Dry Container 20 Feet,20000,600,220,230.0
Low Bed,30000,1500,360,300.0
